id,trait_id,resource_id,created_at,updated_at,user_id
1,137,283,2013-09-09 20:49:56 UTC,2013-09-09 20:49:56 UTC,
2,136,283,2013-09-09 20:50:35 UTC,2013-09-09 20:50:35 UTC,
3,77,11,2013-09-09 20:51:30 UTC,2013-09-09 20:51:30 UTC,
4,74,11,2013-09-09 20:53:22 UTC,2013-09-09 20:53:22 UTC,
5,75,11,2013-09-09 20:58:10 UTC,2013-09-09 20:58:10 UTC,
7,76,11,2013-09-09 21:00:13 UTC,2013-09-09 21:00:13 UTC,
8,78,11,2013-09-09 21:00:35 UTC,2013-09-09 21:00:35 UTC,
9,79,11,2013-09-09 21:00:47 UTC,2013-09-09 21:00:47 UTC,
10,86,11,2013-09-09 21:01:11 UTC,2013-09-09 21:01:11 UTC,
11,87,11,2013-09-09 21:01:23 UTC,2013-09-09 21:01:23 UTC,
12,82,11,2013-09-09 21:01:36 UTC,2013-09-09 21:01:36 UTC,
13,83,11,2013-09-09 21:01:46 UTC,2013-09-09 21:01:46 UTC,
14,85,11,2013-09-09 21:01:56 UTC,2013-09-09 21:01:56 UTC,
15,92,11,2013-09-09 21:02:40 UTC,2013-09-09 21:02:40 UTC,
16,93,11,2013-09-09 21:02:51 UTC,2013-09-09 21:02:51 UTC,
17,91,11,2013-09-09 21:03:03 UTC,2013-09-09 21:03:03 UTC,
18,84,11,2013-09-09 21:03:25 UTC,2013-09-09 21:03:25 UTC,
19,89,11,2013-09-09 21:03:58 UTC,2013-09-09 21:03:58 UTC,
20,81,11,2013-09-09 21:04:11 UTC,2013-09-09 21:04:11 UTC,
22,80,11,2013-09-09 21:05:14 UTC,2013-09-09 21:05:14 UTC,
23,97,282,2013-09-09 21:08:18 UTC,2013-09-09 21:08:18 UTC,
24,97,10,2013-09-09 21:09:03 UTC,2013-09-09 21:09:03 UTC,
25,96,282,2013-09-09 21:09:18 UTC,2013-09-09 21:09:18 UTC,
26,96,10,2013-09-09 21:09:33 UTC,2013-09-09 21:09:33 UTC,
27,41,40,2013-09-09 21:14:55 UTC,2013-09-09 21:14:55 UTC,
28,104,40,2013-09-09 21:15:50 UTC,2013-09-09 21:15:50 UTC,
29,3,48,2013-09-09 21:18:32 UTC,2013-09-09 21:18:32 UTC,
30,5,48,2013-09-09 21:21:02 UTC,2013-09-09 21:21:02 UTC,
31,8,48,2013-09-09 21:21:41 UTC,2013-09-09 21:21:41 UTC,
32,15,215,2013-09-09 21:23:12 UTC,2013-09-09 21:23:12 UTC,
33,116,284,2013-09-09 21:26:15 UTC,2013-09-09 21:26:15 UTC,
34,116,201,2013-09-09 21:26:30 UTC,2013-09-09 21:26:30 UTC,
35,65,282,2013-09-09 21:30:29 UTC,2013-09-09 21:30:29 UTC,
36,43,11,2013-09-09 21:32:51 UTC,2013-09-09 21:32:51 UTC,
37,48,214,2013-09-09 21:34:06 UTC,2013-09-09 21:34:06 UTC,
38,62,10,2013-09-09 21:36:26 UTC,2013-09-09 21:36:26 UTC,
39,65,10,2013-09-09 22:34:20 UTC,2013-09-09 22:34:20 UTC,
40,128,285,2013-09-09 23:45:31 UTC,2013-09-09 23:45:31 UTC,
41,129,285,2013-09-09 23:45:45 UTC,2013-09-09 23:45:45 UTC,
42,92,296,2013-09-12 22:41:56 UTC,2013-09-12 22:41:56 UTC,
43,91,296,2013-09-12 22:42:09 UTC,2013-09-12 22:42:09 UTC,
44,93,296,2013-09-12 22:42:22 UTC,2013-09-12 22:42:22 UTC,
45,139,297,2013-09-13 01:25:40 UTC,2014-02-24 21:18:52 UTC,20
46,140,201,2013-09-13 02:26:34 UTC,2013-09-13 02:26:34 UTC,
47,34,10,2014-01-23 02:42:03 UTC,2014-01-23 02:42:03 UTC,
